Country,Year,Organisation,Deployed,Percentage of Total Deployment
HUN,2020,NATO,487,67.5
HUN,2020,UN,23,3.2
HUN,2020,USA,140,19.4
PRT,2020,EU,60,11.3
PRT,2020,NATO,188,35.4
PRT,2020,UN,249,46.9
PRT,2020,USA,34,6.4
AUS,2020,AUS,500,57.9
AUS,2020,MFO,27,3.1
AUS,2020,NATO,202,23.4
AUS,2020,UN,25,2.9
AUS,2020,USA,110,12.7
HRV,2020,NATO,193,90.6
HRV,2020,UN,20,9.4
DNK,2020,NATO,384,61.5
DNK,2020,UN,21,3.4
DNK,2020,USA,219,35.1
KOR,2020,UN,692,100.0
MNE,2020,NATO,38,97.4
MNE,2020,UN,1,2.6
NZL,2020,MFO,26,15.7
NZL,2020,NATO,9,5.4
NZL,2020,UN,10,6.0
NZL,2020,USA,121,72.9
NOR,2020,MFO,3,0.9
NOR,2020,NATO,174,51.9
NOR,2020,UN,38,11.3
NOR,2020,USA,120,35.8
USA,2020,MFO,454,3.6
USA,2020,NATO,5330,42.6
USA,2020,UN,31,0.2
USA,2020,USA,6700,53.5
JPN,2020,UN,6,100.0
CAN,2021,CAN,200,16.3
CAN,2021,MFO,55,4.5
CAN,2021,NATO,697,56.8
CAN,2021,UN,25,2.0
CAN,2021,USA,250,20.4
SVK,2021,EU,46,10.5
SVK,2021,NATO,102,23.2
SVK,2021,UN,292,66.4
ALB,2021,EU,1,1.9
ALB,2021,NATO,50,94.3
ALB,2021,UN,2,3.8
BGR,2021,EU,16,36.4
BGR,2021,NATO,28,63.6
CZE,2021,EU,122,35.1
CZE,2021,FRA,60,17.2
CZE,2021,MFO,18,5.2
CZE,2021,NATO,104,29.9
CZE,2021,UN,14,4.0
CZE,2021,USA,30,8.6
FRA,2021,EU,268,3.7
FRA,2021,FRA,5525,76.7
FRA,2021,MFO,1,0.0
FRA,2021,NATO,303,4.2
FRA,2021,UN,600,8.3
FRA,2021,USA,506,7.0
GRC,2021,EU,8,3.4
GRC,2021,NATO,115,49.1
GRC,2021,UN,111,47.4
MKD,2021,EU,3,4.1
MKD,2021,NATO,68,91.9
MKD,2021,UN,3,4.1
NLD,2021,EU,6,1.3
NLD,2021,FRA,4,0.9
NLD,2021,NATO,272,60.4
NLD,2021,UN,18,4.0
NLD,2021,USA,150,33.3
POL,2021,EU,119,9.6
POL,2021,NATO,735,59.1
POL,2021,UN,200,16.1
POL,2021,USA,190,15.3
ROU,2021,EU,55,22.5
ROU,2021,NATO,169,69.3
ROU,2021,UN,19,7.8
ROU,2021,USA,1,0.4
SVN,2021,EU,18,6.3
SVN,2021,NATO,259,90.9
SVN,2021,UN,2,0.7
SVN,2021,USA,6,2.1
ESP,2021,EU,570,28.2
ESP,2021,FRA,65,3.2
ESP,2021,NATO,611,30.2
ESP,2021,UN,626,31.0
ESP,2021,USA,150,7.4
TUR,2021,EU,242,31.8
TUR,2021,NATO,407,53.4
TUR,2021,UN,113,14.8
GBR,2021,FRA,90,2.6
GBR,2021,GBR,1118,32.7
GBR,2021,MFO,2,0.1
GBR,2021,NATO,1003,29.4
GBR,2021,UN,603,17.7
GBR,2021,USA,600,17.6
DEU,2021,EU,120,7.4
DEU,2021,NATO,733,45.3
DEU,2021,UN,536,33.1
DEU,2021,USA,230,14.2
ITA,2021,EU,520,10.9
ITA,2021,FRA,100,2.1
ITA,2021,ITA,715,14.9
ITA,2021,MFO,75,1.6
ITA,2021,NATO,1268,26.5
ITA,2021,UN,1208,25.2
ITA,2021,USA,900,18.8
LVA,2021,EU,4,2.9
LVA,2021,NATO,133,95.7
LVA,2021,UN,1,0.7
LVA,2021,USA,1,0.7
LTU,2021,EU,4,4.9
LTU,2021,NATO,3,3.7
LTU,2021,UN,45,54.9
LTU,2021,USA,30,36.6
LUX,2021,EU,15,68.2
LUX,2021,NATO,5,22.7
LUX,2021,UN,2,9.1
BEL,2021,BEL,130,27.4
BEL,2021,EU,75,15.8
BEL,2021,FRA,3,0.6
BEL,2021,NATO,205,43.2
BEL,2021,UN,55,11.6
BEL,2021,USA,6,1.3
EST,2021,EU,10,7.1
EST,2021,FRA,75,53.2
EST,2021,NATO,40,28.4
EST,2021,UN,6,4.3
EST,2021,USA,10,7.1
HUN,2021,EU,194,22.6
HUN,2021,NATO,491,57.3
HUN,2021,UN,34,4.0
HUN,2021,USA,138,16.1
PRT,2021,EU,188,30.0
PRT,2021,FRA,2,0.3
PRT,2021,NATO,150,24.0
PRT,2021,UN,256,40.9
PRT,2021,USA,30,4.8
AUS,2021,AUS,500,75.2
AUS,2021,MFO,27,4.1
AUS,2021,NATO,2,0.3
AUS,2021,UN,26,3.9
AUS,2021,USA,110,16.5
HRV,2021,NATO,232,92.8
HRV,2021,UN,18,7.2
DNK,2021,NATO,395,97.1
DNK,2021,UN,12,2.9
KOR,2021,UN,542,100.0
MNE,2021,EU,2,13.3
MNE,2021,NATO,12,80.0
MNE,2021,UN,1,6.7
NZL,2021,MFO,26,57.8
NZL,2021,UN,10,22.2
NZL,2021,USA,9,20.0
NOR,2021,MFO,3,0.9
NOR,2021,NATO,197,61.4
NOR,2021,UN,41,12.8
NOR,2021,USA,80,24.9
USA,2021,MFO,452,4.1
USA,2021,NATO,1352,12.3
USA,2021,UN,29,0.3
USA,2021,USA,9150,83.3
JPN,2021,UN,4,100.0
