Country,Total,PerCapita,Population,Total-Z,PerCapita-Z,Combined-Z_Total_PerCapita,MDI,Year
JPN,6,4.7520612065483404e-08,126261000,-0.5753562461226591,-1.5573539623026638,-2.1327102084253227,0,2020
KOR,692,1.3349733957357515e-05,51836239,-0.29577364368582576,-1.1466834008545137,-1.4424570445403395,11,2020
LTU,108,3.864201926018423e-05,2794885,-0.5337856550897772,-0.365851163691908,-0.8996368187816852,20,2020
LUX,10,1.5862466074150683e-05,630419,-0.5737260268664677,-1.0691094601585869,-1.6428354870250546,8,2020
LVA,28,1.4733360379573459e-05,1900449,-0.5663900402136062,-1.103967604250107,-1.6703576444637132,7,2020
MKD,56,2.702010247373863e-05,2072531,-0.554978505420266,-0.7246470247944136,-1.2796255302146795,14,2020
MNE,39,6.277100172861681e-05,621306,-0.5619069372590797,0.3790671833733071,-0.18283975388577262,31,2020
NLD,506,2.9011266232835478e-05,17441500,-0.3715788390987281,-0.6631751240168696,-1.0347539631155978,18,2020
NOR,335,6.227373489048652e-05,5379475,-0.4412707123009125,0.3637153884273337,-0.07755532387357883,33,2020
NZL,166,3.261168519900986e-05,5090200,-0.5101474758750012,-0.5520217362379322,-1.0621692121129334,17,2020
POL,1507,3.97635087087889e-05,37899070,0.03638352976318186,-0.3312281509975837,-0.2948446212344018,29,2020
PRT,531,5.1568012332815485e-05,10297081,-0.36138996874753154,0.033204594520774816,-0.32818537422675675,29,2020
ROU,1112,5.774367623660783e-05,19257520,-0.12460062178572366,0.2238618405634482,0.09926121877772455,36,2020
SVK,497,9.104520073634867e-05,5458827,-0.3752468324251588,1.2519580985616066,0.8767112661364478,48,2020
SVN,309,0.00014697355760198133,2102419,-0.4518671374661569,2.9785978026985753,2.526730665232418,74,2020
TUR,4236,5.022583425069191e-05,84339067,1.1486006172997973,-0.008231594498413451,1.1403690228013839,52,2020
USA,12515,3.775251652272143e-05,331501080,4.522746922802048,-0.39331220187566246,4.129434720926385,100,2020
ALB,53,1.8850034107891906e-05,2811666,-0.5079255143161573,-0.7936506189332455,-1.301576133249403,9,2021
AUS,665,2.583602261075456e-05,25739256,-0.23991601236634377,-0.5787856356408377,-0.8187016480071815,17,2021
BEL,474,4.0904800376807426e-05,11587882,-0.32355950071996203,-0.11532184929002745,-0.4388813500099895,23,2021
BGR,44,6.377620350406755e-06,6899125,-0.5118668305213017,-1.1772591766226699,-1.6891260071439715,3,2021
CAN,1227,3.2081695737511385e-05,38246108,0.006197288443779151,-0.386690207559251,-0.38049291911547184,24,2021
CZE,348,3.251289351111782e-05,10703446,-0.3787379275919825,-0.3734280468237008,-0.7521659744156832,18,2021
DEU,1619,1.9475687779583333e-05,83129285,0.17786350537895385,-0.7744076634574777,-0.5965441580785238,20,2021
DNK,407,6.949266766984255e-05,5856733,-0.3529004102471475,0.7639426421654814,0.41104223191833383,36,2021
ESP,2022,4.272430901406642e-05,47326687,0.3543468865648605,-0.05936002044005937,0.29498686612480113,34,2021
EST,141,0.00010607453503995474,1329254,-0.46938820031030176,1.8890750866382091,1.4196868863279073,52,2021
FRA,7203,0.0001067121497760356,67499343,2.6232312486596054,1.908685923323507,4.531917171983112,100,2021
GBR,3416,5.073777040383567e-05,67326569,0.9648129743394358,0.18710649563301696,1.1519194699724529,47,2021
GRC,234,2.194181705250508e-05,10664568,-0.4286612661904772,-0.6985580074200941,-1.1272192736105713,12,2021
HRV,250,6.411900487304436e-05,3899000,-0.4216544818257762,0.5986672532094374,0.17701277138366117,32,2021
